"Sy/A5","Count"
,204
0.6512,1
0.7593,1
0.8421,1
0.9714,1
1.1515,1
1.25,1
1.2545,2
1.2917,1
1.2941,1
1.3333,1
1.3636,1
1.3667,2
1.375,1
1.38,1
1.3833,1
1.4923,1
1.5091,1
1.5333,1
1.55,1
1.64,1
1.6939,1
1.7167,1
1.7674,1
1.8302,1
1.8444,2
1.8727,1
1.9,1
1.9077,1
1.92,1
1.9714,1
2.0208,1
2.0469,1
2.093,1
2.102,1
2.1818,1
2.2,1
2.2391,1
2.25,2
2.2545,1
2.2917,2
2.3,1
2.3016,1
2.3571,1
2.3714,1
2.3913,1
2.425,1
2.48,1
2.5306,1
2.5556,1
2.5714,1
2.5833,1
2.6,1
2.619,1
2.62,1
2.6591,1
2.6957,1
2.7571,1
2.76,1
2.7636,1
2.7838,1
2.7885,1
2.8837,1
2.8947,1
3.0667,2
3.1,2
3.1364,1
3.2333,1
3.2857,1
3.3818,2
3.44,1
3.45,2
3.4643,1
3.5833,1
3.5926,1
3.6,2
3.6667,1
3.7308,1
3.7636,2
3.8,2
3.8222,1
3.9,1
3.975,2
4,3
4.0909,1
4.1,1
4.1111,1
4.1176,1
4.1333,1
4.2222,2
4.3,1
4.3333,6
4.3429,2
4.375,4
4.3818,4
4.4,1
4.5,3
4.5429,2
4.5556,2
4.6,4
4.6111,1
4.6364,2
4.65,2
4.68,2
4.75,6
4.7778,1
4.82,3
4.8333,1
4.875,2
4.9,3
4.9111,1
4.9286,1
5,7
5.0667,1
5.125,13
5.1563,1
5.25,1
5.2941,1
5.3143,1
5.3182,2
5.3889,1
5.4,1
5.4286,2
5.5,3
5.52,3
5.5263,2
5.5333,1
5.5714,2
5.7059,1
5.7333,1
5.7407,1
5.85,2
5.9211,1
5.9394,1
5.9545,2
5.9722,1
6,3
6.0588,1
6.0625,1
6.08,1
6.1111,3
6.1333,2
6.1429,1
6.2,2
6.2727,1
6.4333,1
6.4516,1
6.4667,1
6.5,1
6.5556,1
6.5909,3
6.6129,1
6.625,2
6.75,2
6.8667,1
6.875,2
6.88,1
6.8857,1
6.8889,1
6.8909,2
6.8966,1
6.9,2
6.9167,1
6.9643,1
7,3
7.0588,2
7.1111,1
7.1875,1
7.25,1
7.3077,1
7.3529,1
7.3667,1
7.375,1
7.3929,1
7.44,1
7.5,4
7.5313,1
7.6,2
7.6667,3
7.6757,1
7.8846,1
7.973,1
8,7
8.0417,1
8.0513,1
8.0822,1
8.0833,1
8.125,1
8.1429,1
8.1667,1
8.2319,1
8.25,1
8.3333,2
8.3571,1
8.4,1
8.5061,1
8.5185,1
8.5833,1
8.6,4
8.6538,10
8.7037,1
8.75,1
8.7568,1
8.85,1
8.95,1
8.9583,1
9,6
9.0385,2
9.0448,1
9.0571,1
9.1071,1
9.1944,1
9.2,5
9.2308,1
9.2424,1
9.3,1
9.3182,1
9.3571,1
9.36,1
9.375,2
9.4,1
9.4167,1
9.4231,1
9.5,2
9.5224,1
9.5652,2
9.6,1
9.6071,1
9.64,1
9.6648,1
9.7727,2
9.7826,2
9.8,2
9.8077,1
9.8182,1
9.8571,1
9.875,1
10,5
10.2,1
10.2448,1
10.2571,2
10.3333,3
10.4,1
10.48,1
10.5278,1
10.5588,1
10.625,1
10.6364,1
10.7813,2
10.8696,1
10.9091,2
10.9524,1
11,1
11.04,1
11.0417,3
11.05,1
11.087,3
11.1364,2
11.1905,1
11.2222,1
11.25,5
11.2667,1
11.3636,1
11.4286,1
11.5,4
11.5217,1
11.5909,4
11.6667,1
11.7667,1
11.875,1
11.885,1
11.9091,1
11.9231,1
11.9565,1
12,1
12.0455,5
12.0833,2
12.1429,1
12.1739,1
12.25,4
12.3003,1
12.3684,1
12.4,3
12.5,3
12.5455,2
12.619,1
